At itteration 0 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 1 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 2 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 3 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 4 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 5 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 6 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 7 Test data , total error of 0.1248, Training Data, total error of 0.1192
At itteration 8 Test data , total error of 0.1256, Training Data, total error of 0.1216
At itteration 9 Test data , total error of 0.1248, Training Data, total error of 0.1196
At itteration 10 Test data , total error of 0.1256, Training Data, total error of 0.1216
At itteration 11 Test data , total error of 0.1248, Training Data, total error of 0.1202
At itteration 12 Test data , total error of 0.1246, Training Data, total error of 0.1198
At itteration 13 Test data , total error of 0.1246, Training Data, total error of 0.1198
At itteration 14 Test data , total error of 0.1232, Training Data, total error of 0.1202
At itteration 15 Test data , total error of 0.1234, Training Data, total error of 0.1206
At itteration 16 Test data , total error of 0.1234, Training Data, total error of 0.1206
At itteration 17 Test data , total error of 0.123, Training Data, total error of 0.118
At itteration 18 Test data , total error of 0.1224, Training Data, total error of 0.1172
At itteration 19 Test data , total error of 0.1228, Training Data, total error of 0.1186
At itteration 20 Test data , total error of 0.1238, Training Data, total error of 0.1192
At itteration 21 Test data , total error of 0.1238, Training Data, total error of 0.1194
At itteration 22 Test data , total error of 0.123, Training Data, total error of 0.119
At itteration 23 Test data , total error of 0.1232, Training Data, total error of 0.1192
At itteration 24 Test data , total error of 0.1232, Training Data, total error of 0.1192
At itteration 25 Test data , total error of 0.1232, Training Data, total error of 0.1194
At itteration 26 Test data , total error of 0.1232, Training Data, total error of 0.1196
At itteration 27 Test data , total error of 0.1232, Training Data, total error of 0.1196
At itteration 28 Test data , total error of 0.1232, Training Data, total error of 0.1198
At itteration 29 Test data , total error of 0.123, Training Data, total error of 0.1196
At itteration 30 Test data , total error of 0.123, Training Data, total error of 0.1186
At itteration 31 Test data , total error of 0.1232, Training Data, total error of 0.1198
At itteration 32 Test data , total error of 0.1232, Training Data, total error of 0.1196
At itteration 33 Test data , total error of 0.1232, Training Data, total error of 0.1198
At itteration 34 Test data , total error of 0.1238, Training Data, total error of 0.1198
At itteration 35 Test data , total error of 0.1238, Training Data, total error of 0.1198
At itteration 36 Test data , total error of 0.1246, Training Data, total error of 0.1192
At itteration 37 Test data , total error of 0.1246, Training Data, total error of 0.1192
